NAME,HOUSENUM,STREETNAME,ADDRESS,ZIP,CITY
Cambria Ctr For The Gifted,233-10,LINDEN BOULEVARD,233-10 LINDEN BOULEVARD,11411,Cambria Heights
Nursery School Of The Community Church-Little Neck,46-16,LITTLE NECK PARKWAY,46-16 LITTLE NECK PARKWAY,11362,Little Neck
National Sor. Phi Elta Kappa E.C.E.C.,118-44,MERRICK BOULEVARD,118-44 MERRICK BOULEVARD,11434,Jamaica
Jamaica Montessori Associates,90-01,MERRICK BOULEVARD,90-01 MERRICK BOULEVARD,11432,Jamaica
Fed Kids Ccc,26,FEDERAL PLAZA,26 FEDERAL PLAZA,10007,New York
Sheltering Armsy Dcc,2311,FIFTH AVENUE,2311 FIFTH AVENUE,10037,New York
St. Joseph's School For The Deaf,1000,HUTCHINSON RIVER PARKWAY,1000 HUTCHINSON RIVER PARKWAY,10465,Bronx
Riverdale Temple Nursery School,4545,INDEPENDENCE AVENUE,4545 INDEPENDENCE AVENUE,10471,Bronx
St. James Park Day Care & School,2500,JEROME AVENUE,2500 JEROME AVENUE,10468,Bronx
Spuyten Duyvill Pre-School,3041,KINGSBRIDGE AVENUE,3041 KINGSBRIDGE AVENUE,10463,Bronx
Bright Horizons At Ny Presbyterian Hospital,435,EAST 70 STREET,435 EAST 70 STREET,10021,New York
Early Learning Center Of Temple Israel,112,EAST 75 STREET,112 EAST 75 STREET,10021,New York
The Brearly School,60,EAST 83 STREET,60 EAST 83 STREET,10028,New York
Horace Mann School For Nursery Years,55,EAST 90 STREET,55 EAST 90 STREET,10128,New York
The Nightingale Barnford School,20,EAST 92 STREET,20 EAST 92 STREET,10128,New York
Children's All Day School,109,EAST 60 STREET,109 EAST 60 STREET,10022,New York
Bloomingdale Family Program Hs,987,COLUMBUS AVENUE,987 COLUMBUS AVENUE,10025,New York
Grand Street Settlement Hs,292,DELANCEY STREET,292 DELANCEY STREET,10002,New York
Rudolf Steiner Sch,15,EAST 79 STREET,15 EAST 79 STREET,10021,New York
"Our Kids Place, Ltd.",247-11,FRANCIS LEWIS BOULEVARD,247-11 FRANCIS LEWIS BOULEVARD,11422,Rosedale
Union Settlement Hs,237,EAST 104 STREET,237 EAST 104 STREET,10029,New York
East River Children's Center,416,EAST 105 STREET,416 EAST 105 STREET,10029,New York
Village Child Development Center,334,EAST 14 STREET,334 EAST 14 STREET,10003,New York
"The Manhattan Kids Club Ii, Inc.",629,EAST 14 STREET,629 EAST 14 STREET,10009,New York
East Chelsea Children's Wksp,17,EAST 16 STREET,17 EAST 16 STREET,10003,New York
Yai/Nyl Gramercy School,3,EAST 19 STREET,3 EAST 19 STREET,10003,New York
Pfizer Kids I/T,235,EAST 42 STREET,235 EAST 42 STREET,10017,New York
Agape Nursery Sch,143-17,FRANKLIN AVENUE,143-17 FRANKLIN AVENUE,11355,Flushing
Jack&Jill Nursery School Ii,68-05,FRESH MEADOW LANE,68-05 FRESH MEADOW LANE,11365,Fresh Meadows
Precious Moments Nursery School,61-28,GRAND AVENUE,61-28 GRAND AVENUE,11378,Maspeth
Cas Fredrick Douglas Hs,885,COLUMBUS AVENUE,885 COLUMBUS AVENUE,10025,New York
Chase Back Up C.C. Pres,18,EAST 48 STREET,18 EAST 48 STREET,10017,New York
Chase Back Up Cc Pres,18,EAST 48 STREET,18 EAST 48 STREET,10017,New York
Kaplan Nursery School,225,EAST 51 STREET,225 EAST 51 STREET,10022,New York
"Devoted Parents Assn, Inc",137-25,BROOKVILLE BOULEVARD,137-25 BROOKVILLE BOULEVARD,11422,Rosedale
Precious Moments Day Care,2-Nov,CLINTONVILLE STREET,43771 CLINTONVILLE STREET,11357,Whitestone
Urban Horizons Ec Discovery Ctr.,50,EAST 168 STREET,50 EAST 168 STREET,10452,Bronx
Cardinal Mccloskey Day Care Ct,899,EAST 180 STREET,899 EAST 180 STREET,10460,Bronx
Regent School,719,EAST 216 STREET,719 EAST 216 STREET,10467,Bronx
Children's Heimeshe Workshop,1177,EAST 18 STREET,1177 EAST 18 STREET,11230,Brooklyn
Danielle's Educating Forth Future,144,EAST 56 STREET,144 EAST 56 STREET,11203,Brooklyn
The Children's Center At The Herbert G. Birch,2075,EAST 68 STREET,2075 EAST 68 STREET,11234,Brooklyn
Practical Learning Center,527,EASTERN PARKWAY,527 EASTERN PARKWAY,11216,Brooklyn
Parkway Pre Sch,1159,FLATBUSH AVENUE,1159 FLATBUSH AVENUE,11226,Brooklyn
Brooklyn Day Care Inc./D.B.A. The Rebecca Pre-Sch&Kindergarten,1205,FLATBUSH AVENUE,1205 FLATBUSH AVENUE,11226,Brooklyn
Morning Glory Day Care,3301,FOSTER AVENUE,3301 FOSTER AVENUE,11203,Brooklyn
Round Table Child Care Ctr,1175,GATES AVENUE,1175 GATES AVENUE,11221,Brooklyn
College Community Ccc Inc.,2804,GLENWOOD ROAD,2804 GLENWOOD ROAD,11210,Brooklyn
Hanson Place Child,55,HANSON PLACE,55 HANSON PLACE,11217,Brooklyn
Taft Dcc,1724,MADISON AVENUE,1724 MADISON AVENUE,10029,New York
Rockefeller University Child&Family Center (Gsr),1230,YORK AVENUE,1230 YORK AVENUE,10021,New York
Up The Ladder,80-11,101 AVENUE,80-11 101 AVENUE,11416,Ozone Park
Very Important People Dcc Corp.,95-06,101 AVENUE,95-06 101 AVENUE,11416,Ozone Park
B.C.L. Dcc,34-10,108 STREET,34-10 108 STREET,11368,Corona
Aabr:New York Child Learning Institute,14-02,124 STREET,14-02 124 STREET,11356,College Point
Holy Unity Day Care,167-10,137 AVENUE,167-10 137 AVENUE,11434,Jamaica
Mimi & Friends Dc #1,32-38,148 STREET,32-38 148 STREET,11354,Flushing
Holy Cross Nursery,1-Dec,150 STREET,43800 150 STREET,11357,Whitestone
Hands And Hearts Preparatory Sch,885-887,THOMAS S BOYLAND STREET,885-887 THOMAS S BOYLAND STREET,11212,Brooklyn
Cobble Hill Playgroup Inc.,136,UNION STREET,136 UNION STREET,11231,Brooklyn
St. Matin's Nursery School,657,VAN SICLEN AVENUE,657 VAN SICLEN AVENUE,11207,Brooklyn
Andrew Landi Day Care Center,21-20,35 AVENUE,21-20 35 AVENUE,11106,Astoria
Queens Lutheran School Grace Annex,31-20,37 STREET,31-20 37 STREET,11103,Astoria
Qns Lutheran Sch Trinity Annex,31-20,37 STREET,31-20 37 STREET,11103,Astoria
Rainbow Christian Dc,72-01,43 AVENUE,72-01 43 AVENUE,11377,Woodside
Herbert G. Birch/Western Queens Ecc,24-Oct,49 AVENUE,43762 49 AVENUE,11101,Long Island City
Little Hands Nursery Cc,75-02,51 AVENUE,75-02 51 AVENUE,11373,Elmhurst
J.Cc.A. Forest Hills Day Care,108-05,68 ROAD,108-05 68 ROAD,11375,Forest Hills
Congregation Ohel Yitzchak,137-56,70 AVENUE,137-56 70 AVENUE,11367,Flushing
Personal Touch Ecc,158-13,72 AVENUE,158-13 72 AVENUE,11365,Fresh Meadows
Lexington Child Care Center,25-26,75 STREET,25-26 75 STREET,11370,East Elmhurst
Rainbowland Nursery School,33-11,77 STREET,33-11 77 STREET,11372,Jackson Heights
Garden School,33-16,79 STREET,33-16 79 STREET,11372,Jackson Heights
Pickwick Sch Pre-Sch,151-15,85 DRIVE,151-15 85 DRIVE,11432,Jamaica
Educare Child Care Inc.,720,WASHINGTON AVENUE,720 WASHINGTON AVENUE,11238,Brooklyn
Brookwood Cc-Ec&Family Center,25,WASHINGTON STREET,25 WASHINGTON STREET,11201,Brooklyn
The League Enter Nursery/J.F. Therapeutic Nursery,30,WASHINGTON STREET,30 WASHINGTON STREET,11201,Brooklyn
The Johnson Preschool,20,WINTHROP STREET,20 WINTHROP STREET,11225,Brooklyn
Infant & Child Learning Center,604,WINTHROP STREET,604 WINTHROP STREET,11203,Brooklyn
Kings County Hospital Evr Day Care Program,604,WINTHROP STREET,604 WINTHROP STREET,11203,Brooklyn
Inwood Nursery School,3732,10 AVENUE,3732 10 AVENUE,10034,New York
Holmes Towers-Eisman Day Nursery,1794,1 AVENUE,1794 1 AVENUE,10128,New York
Northside Therapeutic Ecc,1301,5 AVENUE,1301 5 AVENUE,10029,New York
Isabella Child Dcc,515,AUDUBON AVENUE,515 AUDUBON AVENUE,10040,New York
The Children's Ctr. At Time Warner,1271,AVENUE OF AMERICAS,1271 AVENUE OF AMERICAS,10020,New York
C.P.C. Jacob Riis Ccc,90,AVENUE D,90 AVENUE D,10009,New York
Salvation Army Brownsville Dc,280,RIVERDALE AVENUE,280 RIVERDALE AVENUE,11212,Brooklyn
Kidding Around,2940,EAST 194 STREET,2940 EAST 194 STREET,10461,Bronx
East Meadow School,3101,EASTCHESTER ROAD,3101 EASTCHESTER ROAD,10469,Bronx
Little Scholars Dcc,509,EAST 78 STREET,509 EAST 78 STREET,11236,Brooklyn
New Life Head Start,406,GROVE STREET,406 GROVE STREET,11237,Brooklyn
Our Children's Center,300,JAY STREET,300 JAY STREET,11201,Brooklyn
Traditional Ccs Montessori Center,165-21,BAISLEY BOULEVARD,165-21 BAISLEY BOULEVARD,11434,Jamaica
Shinkwang Church Nurs Pre Sch,33-55,BELL BOULEVARD,33-55 BELL BOULEVARD,11361,Bayside
Shield Institute,1800,ANDREWS AVENUE,1800 ANDREWS AVENUE,10453,Bronx
"Bronx Educational Opportunity Center, Inc.",1600,BATHGATE AVENUE,1600 BATHGATE AVENUE,10457,Bronx
Goose Bay Iv,950,BAYCHESTER AVENUE,950 BAYCHESTER AVENUE,10475,Bronx
Jade Multi Family Circle Ctr. Inc.,684,BRITTON STREET,684 BRITTON STREET,10467,Bronx
Icahn House Child Care,1520,BROOK AVENUE,1520 BROOK AVENUE,10457,Bronx
Icahn House Child Care,1520,BROOK AVENUE,1520 BROOK AVENUE,10457,Bronx
St. Margaret Mary Hs,16-Sep,27 AVENUE,43724 27 AVENUE,11102,Astoria
Queensbridge Dcc Inc.,38-11,27 STREET,38-11 27 STREET,11101,Long Island City
Atonement Pre-School,30-61,31 AVENUE,30-61 31 AVENUE,11106,Astoria
Union Day Care Center,30-59,31 STREET,30-59 31 STREET,11102,Astoria
Adventureland Of Astoria I/T,31-34,33 STREET,31-34 33 STREET,11106,Astoria
Yearling Nursery,604,WEST 227 STREET,604 WEST 227 STREET,10463,Bronx
Small Tots Child Care,223,ROGERS AVENUE,223 ROGERS AVENUE,11225,Brooklyn
"Bambi Day Care, Inc.",300,ROGERS AVENUE,300 ROGERS AVENUE,11225,Brooklyn
Tiny Town Preschool,428,ROGERS AVENUE,428 ROGERS AVENUE,11225,Brooklyn
Excelsior Day Care,1028,RUTLAND ROAD,1028 RUTLAND ROAD,11212,Brooklyn
Rutland Learning Center,1032,RUTLAND ROAD,1032 RUTLAND ROAD,11212,Brooklyn
Grace Christian Education Ctr,650,LIVONIA AVENUE,650 LIVONIA AVENUE,11207,Brooklyn
The Salvation Army Fiesta Dcc,76,LORRAINE STREET,76 LORRAINE STREET,11231,Brooklyn
P.A.L. Head Start #1a,265,MARCUS GARVEY BOULEVARD,265 MARCUS GARVEY BOULEVARD,11221,Brooklyn
Marcy Children's Ctr,494,MARCY AVENUE,494 MARCY AVENUE,11206,Brooklyn
Bridge Community-Nursery,111,WADSWORTH AVENUE,111 WADSWORTH AVENUE,10033,New York
Fort George Enrichment Hs#2,210,WADSWORTH AVENUE,210 WADSWORTH AVENUE,10033,New York
Mei Wah Day Care,69,MADISON STREET,69 MADISON STREET,10002,New York
Red Apple Child Development,25,MARKET STREET,25 MARKET STREET,10002,New York
Red Apple Child Development Center,25,MARKET STREET,25 MARKET STREET,10002,New York
Mount Morris Children's Center,15,MOUNT MORRIS PARK WEST,15 MOUNT MORRIS PARK WEST,10027,New York
Educare Early Childhood Center,484,SECOND AVENUE,484 SECOND AVENUE,10016,New York
Ft. George Hs Central #1,1525,ST NICHOLAS AVENUE,1525 ST NICHOLAS AVENUE,10033,New York
Greenwich Village Center,209,SULLIVAN STREET,209 SULLIVAN STREET,10012,New York
Trinity Parish Pre Sch Nurs,68,TRINITY PLACE,68 TRINITY PLACE,10006,New York
Rocking Horse,120,WEST 69 STREET,120 WEST 69 STREET,10023,New York
Morningside Montesorri,251,WEST 100 STREET,251 WEST 100 STREET,10025,New York
Village Community School,272,WEST 10 STREET,272 WEST 10 STREET,10014,New York
Bank Street School For Children,610,WEST 112 STREET,610 WEST 112 STREET,10025,New York
Horace E. Greene Dcc,600,HART STREET,600 HART STREET,11221,Brooklyn
St. Malachy Child Development Center Hs,220,HENDRIX STREET,220 HENDRIX STREET,11207,Brooklyn
St. John's Place Family Center I/T Program,1630,ST JOHN'S PLACE,1630 ST JOHN'S PLACE,11233,Brooklyn
Smiling Faces Christian Dcc,1677,ST JOHN'S PLACE,1677 ST JOHN'S PLACE,11233,Brooklyn
Children's Corner,69,STRATFORD ROAD,69 STRATFORD ROAD,11218,Brooklyn
Urban Strategies Hs,1091,SUTTER AVENUE,1091 SUTTER AVENUE,11208,Brooklyn
Graham-Windham Ccc,110,TAYLOR STREET,110 TAYLOR STREET,11211,Brooklyn
Significant Steps Child Development Center,284,THIRD AVENUE,284 THIRD AVENUE,11215,Brooklyn
Child World Day Care,966,UTICA AVENUE,966 UTICA AVENUE,11203,Brooklyn
Children's World Dcc,645,VAN SICLEN AVENUE,645 VAN SICLEN AVENUE,11207,Brooklyn
Medgar Evers College Hs Iii,315,VANDERBILT AVENUE,315 VANDERBILT AVENUE,11205,Brooklyn
Pal Carey Gardens Dcc,2964,WEST 23 STREET,2964 WEST 23 STREET,11224,Brooklyn
Astoria L.I.C Naacp Dcc #2,21-20,35 AVENUE,21-20 35 AVENUE,11106,Astoria
Bayside Ymca Pre Sch,214-13,35 AVENUE,214-13 35 AVENUE,11361,Bayside
Towers Play-N-Learn,60-10,47 AVENUE,60-10 47 AVENUE,11377,Woodside
Home Sweet Home,196-17,53 AVENUE,196-17 53 AVENUE,11365,Fresh Meadows
Johnson's Little Tots,99-04,57 AVENUE,99-04 57 AVENUE,11368,Corona
Mi Nuevo Mundo,31-31,60 STREET,31-31 60 STREET,11377,Woodside
Coney Island Ccc,2757,WEST 33 STREET,2757 WEST 33 STREET,11224,Brooklyn
Roberta Bright Ccc,3001,WEST 37 STREET,3001 WEST 37 STREET,11224,Brooklyn
Mrs. Black's Sch/All Children,1035,WASHINGTON AVENUE,1035 WASHINGTON AVENUE,11225,Brooklyn
Helen Keller Services For The Blind Children's Learning Center,57,WILLOUGHBY STREET,57 WILLOUGHBY STREET,11201,Brooklyn
Dawning Village Dcc,2090,1 AVENUE,2090 1 AVENUE,10029,New York
Children First On 5th Ave.,600,5 AVENUE,600 5 AVENUE,10020,New York
Sheltering Arms Learning Center,2493,7 AVENUE,2493 7 AVENUE,10030,New York
Mercaz Torah School,200,AMSTERDAM AVENUE,200 AMSTERDAM AVENUE,10023,New York
Our Lady Queen Of Martyrs Hs,71,ARDEN STREET,71 ARDEN STREET,10040,New York
Escuela Hispana Montessori  Hs,18,AVENUE D,18 AVENUE D,10009,New York
Greenwich House Pre-Sch,27,BARROW STREET,27 BARROW STREET,10014,New York
Henry Street Settlement Urban Family School,110,BARUCH DRIVE,110 BARUCH DRIVE,10002,New York
Coop City Child Development Center,100,ALDRICH STREET,100 ALDRICH STREET,10475,Bronx
Ms. Elena's Sunshine Early Learning Center Inc.,3075,BAISLEY AVENUE,3075 BAISLEY AVENUE,10461,Bronx
Dr. Katharine Dodge Brownell School,450,CASTLE HILL AVENUE,450 CASTLE HILL AVENUE,10473,Bronx
Riverdale Neighborhood House,5521,MOSHOLU AVENUE,5521 MOSHOLU AVENUE,10471,Bronx
Beginning With Children Pre-K,11,BARTLETT STREET,11 BARTLETT STREET,11206,Brooklyn
Breukelen Hs,715,EAST 105 STREET,715 EAST 105 STREET,11236,Brooklyn
Children's Heimeshe Workshop,1177,EAST 18 STREET,1177 EAST 18 STREET,11230,Brooklyn
King's Bay Ym-Ywha Nursery,3495,NOSTRAND AVENUE,3495 NOSTRAND AVENUE,11229,Brooklyn
William Woodward Jr. Nursery School,1233A,YORK AVENUE,1233A YORK AVENUE,10021,New York
Yeshiva Tifereth Moshe Dc,83-06,ABINGDON ROAD,83-06 ABINGDON ROAD,11415,Kew Gardens
The Learning Tree,74-15,JUNIPER BLVD NORTH,74-15 JUNIPER BLVD NORTH,11379,Middle Village
Better Beginning Learning,1910,ARTHUR AVENUE,1910 ARTHUR AVENUE,10457,Bronx
Lehman College Child Care Center,250,BEDFORD PARK BLVD WEST,250 BEDFORD PARK BLVD WEST,10468,Bronx
East Tremont Hs,1057,BOYNTON AVENUE,1057 BOYNTON AVENUE,10472,Bronx
Marble Hill Nursery School,5470,BROADWAY,5470 BROADWAY,10463,Bronx
Miss Francine Day School,1420,BURKE AVENUE,1420 BURKE AVENUE,10469,Bronx
Charles R. Drew Dcc,109-45,207 STREET,109-45 207 STREET,11429,Queens Village
Throop Memorial Day Care Center,140-17,243 STREET,140-17 243 STREET,11422,Rosedale
Bright Beginnings Infants (Lic),35-01,24 STREET,35-01 24 STREET,11106,Astoria
Chabad Early Learning Center,212-12,26 AVENUE,212-12 26 AVENUE,11360,Bayside
Let's Care Again Dcc #2,775,ROGERS AVENUE,775 ROGERS AVENUE,11226,Brooklyn
First Impression Nursery School,776,ROGERS AVENUE,776 ROGERS AVENUE,11226,Brooklyn
Hospital/Clinic Home/Center,624,SCHENECTADY AVENUE,624 SCHENECTADY AVENUE,11203,Brooklyn
Safe Horizon Brooklyn Criminal Court Cc,120,SCHERMERHORN STREET,120 SCHERMERHORN STREET,11201,Brooklyn
Gan Jewish Day Care Center,9502,SEAVIEW AVENUE,9502 SEAVIEW AVENUE,11236,Brooklyn
Ahrc@Francis Of Paola,201,CONSELYEA STREET,201 CONSELYEA STREET,11211,Brooklyn
Ahrc Bklyn Blue Feather Ec Pro,477,COURT STREET,477 COURT STREET,11231,Brooklyn
Pb Children's Academy,3504,CHURCH AVENUE,3504 CHURCH AVENUE,11203,Brooklyn
Happy Homes Academy,9102,CHURCH AVENUE,9102 CHURCH AVENUE,11236,Brooklyn
Providence Rest Cdc Inc.,3310,CAMPBELL DRIVE,3310 CAMPBELL DRIVE,10465,Bronx
East Tremont Hs,1984,CROTONA AVENUE,1984 CROTONA AVENUE,10457,Bronx
Mosholu-Montefiore,3450,DEKALB AVENUE,3450 DEKALB AVENUE,10467,Bronx
Barnard College Center For Toddler Devlopment,3009,BROADWAY,3009 BROADWAY,10027,New York
Hamilton Madison House Hs,79,CATHERINE STREET,79 CATHERINE STREET,10002,New York
"Park West Montessori School, Inc.",435,CENTRAL PARK WEST,435 CENTRAL PARK WEST,10025,New York
Little Hearts Day Care,3008,AVENUE J,3008 AVENUE J,11210,Brooklyn
Barkai Yeshiyah,321,AVENUE N,321 AVENUE N,11230,Brooklyn
Shostakovich Music &Art School,1938,BATH AVENUE,1938 BATH AVENUE,11214,Brooklyn
Brooklyn School For Special Children,376,BAY 44 STREET,376 BAY 44 STREET,11214,Brooklyn
Delores Children's Ct.,2597,BEDFORD AVENUE,2597 BEDFORD AVENUE,11226,Brooklyn
Midwood Montessori,2825,BEDFORD AVENUE,2825 BEDFORD AVENUE,11210,Brooklyn
Wagner College Ecc,1,CAMPUS ROAD,1 CAMPUS ROAD,10301,Staten Island
The Pathways School,121,CLEVELAND AVENUE,121 CLEVELAND AVENUE,10308,Staten Island
Staten Island Mental Health Hs,44,DONGAN HILLS AVENUE,44 DONGAN HILLS AVENUE,10306,Staten Island
Ms. Rosemary's Tiny Tot Preschool,5,NEW DORP PLAZA,5 NEW DORP PLAZA,10306,Staten Island
United Cerebral Palsy Of N.Y.C. Inc.,281,PORT RICHMOND AVENUE,281 PORT RICHMOND AVENUE,10302,Staten Island
South Shore Ymca Nursery School,3939,RICHMOND AVENUE,3939 RICHMOND AVENUE,10312,Staten Island
Cardinal Spellman Hs,137,EAST 2 STREET,137 EAST 2 STREET,10009,New York
N.Y.U. Pre-Sch Developmental Program,400,EAST 34 STREET,400 EAST 34 STREET,10016,New York
International Pre-Sch,28,EAST 35 STREET,28 EAST 35 STREET,10016,New York
Precious Moments I/T,61-28,GRAND AVENUE,61-28 GRAND AVENUE,11378,Maspeth
Beth Gavriel Dcc,75-24,GRAND CENTRAL PARKWAY,75-24 GRAND CENTRAL PARKWAY,11375,Forest Hills
Lyceum Kennedy,225,EAST 43 STREET,225 EAST 43 STREET,10017,New York
Eastchester Nursery School,2407,EASTCHESTER ROAD,2407 EASTCHESTER ROAD,10469,Bronx
South Bronx Hs,141,FEATHERBED LANE,141 FEATHERBED LANE,10452,Bronx
La Peninsula Community Head Start,1343,FULTON AVENUE,1343 FULTON AVENUE,10456,Bronx
Briarwood Early Childhood Center,139-76,85 DRIVE,139-76 85 DRIVE,11435,Jamaica
St. Lukes Nursery School,87-34,85 STREET,87-34 85 STREET,11421,Woodhaven
Young Smile Nursery School,37-61,88 STREET,37-61 88 STREET,11372,Jackson Heights
Children's Big Apple,37-03,94 STREET,37-03 94 STREET,11372,Jackson Heights
The Church In The Gardens Nursery School,50,ASCAN AVENUE,50 ASCAN AVENUE,11375,Forest Hills
Sweet Angels Nursery School Ii,27-11,BAYSIDE LANE,27-11 BAYSIDE LANE,11358,Flushing
Blanche Community Prograss Day Care Center #2,44-22,BEACH CHANNEL DRIVE,44-22 BEACH CHANNEL DRIVE,11691,Far Rockaway
Rockaway Hs,72-05,BEACH CHANNEL DRIVE,72-05 BEACH CHANNEL DRIVE,11692,Arverne
Jack And Jill Nursery School,43-23,COLDEN STREET,43-23 COLDEN STREET,11355,Flushing
"Love, Peace & Joy Pre-Sch & Kindergarten Ii Annex #1",111-10,FARMERS BOULEVARD,111-10 FARMERS BOULEVARD,11412,Saint Albans
Gwendolyn B. Bland Dcc,749,EAST 163 STREET,749 EAST 163 STREET,10456,Bronx
St. Martin Of Tours Hs,695,EAST 182 STREET,695 EAST 182 STREET,10457,Bronx
St. Dominic's Early Childhood Center,406,EAST 184 STREET,406 EAST 184 STREET,10458,Bronx
Williamsbridge Naacp Dc,670,EAST 219 STREET,670 EAST 219 STREET,10467,Bronx
Susan E. Wagner Dcc,1140,EAST 229 STREET,1140 EAST 229 STREET,10466,Bronx
Sharon Baptist Hs,279,EAST BURNSIDE AVENUE,279 EAST BURNSIDE AVENUE,10457,Bronx
Gunhill Child Care Infant/Toddler,934,EAST GUN HILL ROAD,934 EAST GUN HILL ROAD,10469,Bronx
Rabbi Harry Halpern Day Care,1256,EAST 21 STREET,1256 EAST 21 STREET,11210,Brooklyn
Sylvia Klein Ccc,720,EUCLID AVENUE,720 EUCLID AVENUE,11208,Brooklyn
Happyland Manhattan Beach Day School,190,EXETER STREET,190 EXETER STREET,11235,Brooklyn
Nelrak Child Development Center I/T,1057,FULTON STREET,1057 FULTON STREET,11238,Brooklyn
Good Samaritan Gates Cdc,992,GATES AVENUE,992 GATES AVENUE,11221,Brooklyn
Miss Janet's Child Enrichment Center,2936,GERRITSEN AVENUE,2936 GERRITSEN AVENUE,11229,Brooklyn
Vanderveer Park Ecec,3114,GLENWOOD ROAD,3114 GLENWOOD ROAD,11210,Brooklyn
Rose F. Kennedy Family Center,178,HALSEY STREET,178 HALSEY STREET,11216,Brooklyn
Riverschool Westside I/T,75,WEST END AVENUE,75 WEST END AVENUE,10023,New York
Rockefeller University Child & Family Center (Sfh),1230,YORK AVENUE,1230 YORK AVENUE,10021,New York
Dolly&Frank Russo Sr. Center,118-03,101 AVENUE,118-03 101 AVENUE,11419,South Richmond Hill
St. John's Lutheran Pre-School,86-20,114 STREET,86-20 114 STREET,11418,Richmond Hill
Humbleway Church Dcc,133-15,120 AVENUE,133-15 120 AVENUE,11420,South Ozone Park
Amistad Ecec,110-15,164 PLACE,110-15 164 PLACE,11433,Jamaica
Keren Ohr Nursery,83-16,188 STREET,83-16 188 STREET,11423,Hollis
Montessori School Of Mill Basin,6301,MILL LANE,6301 MILL LANE,11234,Brooklyn
Fennell Dcc,175,MOORE STREET,175 MOORE STREET,11206,Brooklyn
John Oravecz Ccc,25,NASSAU AVENUE,25 NASSAU AVENUE,11222,Brooklyn
Wonderland Day Care Center,265,NEWKIRK AVENUE,265 NEWKIRK AVENUE,11230,Brooklyn
Associatedbeth Rivkah Hs,913,NOSTRAND AVENUE,913 NOSTRAND AVENUE,11225,Brooklyn
Viener Pre-Sch Of Flatbush,2305,OLEAN STREET,2305 OLEAN STREET,11210,Brooklyn
Tompkins Children's Center,730,PARK AVENUE,730 PARK AVENUE,11206,Brooklyn
Sumner Children's Center,860,PARK AVENUE,860 PARK AVENUE,11206,Brooklyn
Cypress Hills Ccc,108,PINE STREET,108 PINE STREET,11208,Brooklyn
Brevoort Children's Ctr,250,RALPH AVENUE,250 RALPH AVENUE,11233,Brooklyn
H.A.S.C. Staff Day Care,555,REMSEN AVENUE,555 REMSEN AVENUE,11236,Brooklyn
Martin De Porres Day Care Center,783,KNICKERBOCKER AVENUE,783 KNICKERBOCKER AVENUE,11207,Brooklyn
Rugged Cross Christian Dc,1084,LAFAYETTE AVENUE,1084 LAFAYETTE AVENUE,11221,Brooklyn
Maple Leaf Academy,890,LENOX ROAD,890 LENOX ROAD,11203,Brooklyn
"Faith, Hope&Charity #4",851,LIBERTY AVENUE,851 LIBERTY AVENUE,11208,Brooklyn
St. Benedict Day Nursery,21,WEST 124 STREET,21 WEST 124 STREET,10027,New York
The Jackie Robinson Elc,181,WEST 135 STREET,181 WEST 135 STREET,10030,New York
San Jose Day Nursery,432,WEST 20 STREET,432 WEST 20 STREET,10011,New York
Manhattan Nursery School,38,WEST 32 STREET,38 WEST 32 STREET,10001,New York
Nursery School At Habonim,44,WEST 66 STREET,44 WEST 66 STREET,10023,New York
W. 83rd Street Pre-Sch,128,WEST 83 STREET,128 WEST 83 STREET,10024,New York
Chabad Early Childhood Center Unidad,166,WEST 97 STREET,166 WEST 97 STREET,10025,New York
Georgia L. Mcmurray Ecdc,675,LINCOLN AVENUE,675 LINCOLN AVENUE,11208,Brooklyn
Our Children's Center,300,JAY STREET,300 JAY STREET,11201,Brooklyn
Cypress Community Day Care Center,668,LOGAN STREET,668 LOGAN STREET,11208,Brooklyn
Children Of Love Dcc,129,MALCOLM X BOULEVARD,129 MALCOLM X BOULEVARD,11221,Brooklyn
Thursday's Child,220,MARINE AVENUE,220 MARINE AVENUE,11209,Brooklyn
Yeled V'Yalda Hs,600,MCDONALD AVENUE,600 MCDONALD AVENUE,11218,Brooklyn
Basic Trust Pre-Sch,225,WEST 99 STREET,225 WEST 99 STREET,10025,New York
Red Apple Child Development Center I/T,25,MARKET STREET,25 MARKET STREET,10002,New York
Park Avenue Christian Church Day School,1010,PARK AVENUE,1010 PARK AVENUE,10028,New York
Grand Street Early Head Start,80,PITT STREET,80 PITT STREET,10002,New York
Union Washington Childrens Center,1893,SECOND AVENUE,1893 SECOND AVENUE,10029,New York
Citizens Care Day Care Center I,131,ST NICHOLAS AVENUE,131 ST NICHOLAS AVENUE,10026,New York
Noah's Ark Day Care,120,VERMILYEA AVENUE,120 VERMILYEA AVENUE,10034,New York
Hudson Guild Children's Center,459,WEST 26 STREET,459 WEST 26 STREET,10001,New York
Westside Montessori Co-Op,165,WEST 105 STREET,165 WEST 105 STREET,10025,New York
Bank Street Family Center,610,WEST 112 STREET,610 WEST 112 STREET,10025,New York
Broadway Presbyterian Church Nursery,201,WEST 114 STREET,201 WEST 114 STREET,10026,New York
Harbor Morningside Cc,311,WEST 120 STREET,311 WEST 120 STREET,10027,New York
Williamsburg Infant&Ecdc,18,HARRISON AVENUE,18 HARRISON AVENUE,11211,Brooklyn
Bedford Harrison Dcc,60,HARRISON AVENUE,60 HARRISON AVENUE,11211,Brooklyn
Bethesda Dcc,600,HART STREET,600 HART STREET,11221,Brooklyn
